event_id,user_id,event_type,event_date,page_url
1,487,search,2025-05-02 17:10:36,https://example.com/page3
2,346,search,2025-05-05 08:10:36,https://example.com/page36
3,864,purchase,2025-04-18 22:10:36,https://example.com/page88
4,101,click,2025-05-12 21:10:36,https://example.com/page39
5,998,purchase,2025-05-04 22:10:36,https://example.com/page35
6,747,purchase,2025-04-22 19:10:36,https://example.com/page83
7,92,click,2025-04-29 18:10:36,https://example.com/page28
8,936,purchase,2025-04-27 22:10:36,https://example.com/page98
9,529,search,2025-05-16 05:10:36,https://example.com/page66
10,811,click,2025-05-15 19:10:36,https://example.com/page40
11,727,purchase,2025-05-12 20:10:36,https://example.com/page100
12,872,page_view,2025-05-11 05:10:36,https://example.com/page25
13,897,click,2025-05-16 03:10:36,https://example.com/page32
14,34,purchase,2025-05-16 11:10:36,https://example.com/page47
15,722,click,2025-05-06 22:10:36,https://example.com/page48
16,844,purchase,2025-04-27 01:10:36,https://example.com/page51
17,651,page_view,2025-04-19 13:10:36,https://example.com/page4
18,248,search,2025-04-27 18:10:36,https://example.com/page77
19,457,click,2025-04-28 09:10:36,https://example.com/page76
20,565,search,2025-05-03 22:10:36,https://example.com/page21
21,858,search,2025-04-19 05:10:36,https://example.com/page12
22,292,page_view,2025-05-02 03:10:36,https://example.com/page7
23,167,click,2025-05-09 04:10:36,https://example.com/page83
24,231,click,2025-05-07 03:10:36,https://example.com/page84
25,420,page_view,2025-04-19 12:10:36,https://example.com/page2
26,486,click,2025-04-21 00:10:36,https://example.com/page23
27,616,page_view,2025-05-09 01:10:36,https://example.com/page33
28,623,search,2025-04-21 04:10:36,https://example.com/page36
29,434,purchase,2025-05-03 17:10:36,https://example.com/page59
30,259,click,2025-04-28 17:10:36,https://example.com/page39
31,694,purchase,2025-04-23 16:10:36,https://example.com/page14
32,8,search,2025-04-24 16:10:36,https://example.com/page83
33,609,search,2025-05-05 21:10:36,https://example.com/page88
34,111,purchase,2025-05-15 21:10:36,https://example.com/page44
35,284,search,2025-05-06 19:10:36,https://example.com/page34
36,672,search,2025-05-10 14:10:36,https://example.com/page20
37,530,click,2025-05-16 04:10:36,https://example.com/page77
38,414,search,2025-04-19 13:10:36,https://example.com/page18
39,739,page_view,2025-04-20 15:10:36,https://example.com/page64
40,303,search,2025-04-30 18:10:36,https://example.com/page52
41,398,page_view,2025-04-23 17:10:36,https://example.com/page91
42,586,click,2025-05-03 23:10:36,https://example.com/page93
43,731,click,2025-04-19 08:10:36,https://example.com/page69
44,654,purchase,2025-04-19 23:10:36,https://example.com/page46
45,520,search,2025-05-11 08:10:36,https://example.com/page85
46,898,click,2025-05-06 02:10:36,https://example.com/page13
47,483,click,2025-05-07 14:10:36,https://example.com/page93
48,828,click,2025-04-19 14:10:36,https://example.com/page43
49,671,page_view,2025-05-09 03:10:36,https://example.com/page46
50,229,search,2025-04-30 16:10:36,https://example.com/page43
51,381,search,2025-04-23 15:10:36,https://example.com/page38
52,475,page_view,2025-04-28 13:10:36,https://example.com/page7
53,888,page_view,2025-04-28 11:10:36,https://example.com/page25
54,513,page_view,2025-04-19 13:10:36,https://example.com/page49
55,543,search,2025-04-30 23:10:36,https://example.com/page7
56,892,click,2025-05-12 18:10:36,https://example.com/page26
57,351,purchase,2025-04-24 07:10:36,https://example.com/page59
58,147,search,2025-05-10 22:10:36,https://example.com/page100
59,83,purchase,2025-05-04 10:10:36,https://example.com/page81
60,182,search,2025-04-21 13:10:36,https://example.com/page8
61,5,purchase,2025-05-06 22:10:36,https://example.com/page27
62,780,click,2025-04-24 00:10:36,https://example.com/page98
63,163,purchase,2025-05-14 20:10:36,https://example.com/page17
64,630,purchase,2025-04-21 14:10:36,https://example.com/page55
65,414,purchase,2025-04-28 06:10:36,https://example.com/page50
66,5,page_view,2025-04-25 20:10:36,https://example.com/page26
67,749,search,2025-05-18 00:10:36,https://example.com/page42
68,776,click,2025-05-17 20:10:36,https://example.com/page87
69,5,click,2025-05-08 23:10:36,https://example.com/page89
70,899,search,2025-05-05 07:10:36,https://example.com/page17
71,106,purchase,2025-04-27 03:10:36,https://example.com/page76
72,314,click,2025-05-15 20:10:36,https://example.com/page6
73,306,search,2025-04-29 04:10:36,https://example.com/page94
74,533,search,2025-04-30 02:10:36,https://example.com/page88
75,138,search,2025-04-27 17:10:36,https://example.com/page46
76,769,click,2025-05-11 14:10:36,https://example.com/page52
77,20,click,2025-05-09 01:10:36,https://example.com/page94
78,135,click,2025-05-17 16:10:36,https://example.com/page76
79,517,click,2025-05-13 08:10:36,https://example.com/page47
80,729,page_view,2025-05-02 14:10:36,https://example.com/page82
81,262,page_view,2025-04-23 06:10:36,https://example.com/page7
82,678,page_view,2025-04-20 17:10:36,https://example.com/page3
83,50,page_view,2025-04-30 20:10:36,https://example.com/page57
84,390,page_view,2025-04-25 06:10:36,https://example.com/page33
85,486,click,2025-05-09 20:10:36,https://example.com/page89
86,703,page_view,2025-05-05 18:10:36,https://example.com/page54
87,678,page_view,2025-04-20 08:10:36,https://example.com/page67
88,277,click,2025-04-30 18:10:36,https://example.com/page14
89,524,page_view,2025-05-06 13:10:36,https://example.com/page15
90,804,page_view,2025-04-27 09:10:36,https://example.com/page26
91,624,click,2025-05-07 09:10:36,https://example.com/page67
92,997,click,2025-05-03 08:10:36,https://example.com/page91
93,420,search,2025-05-11 18:10:36,https://example.com/page6
94,562,purchase,2025-05-09 18:10:36,https://example.com/page89
95,956,purchase,2025-05-04 12:10:36,https://example.com/page31
96,3,page_view,2025-04-19 23:10:36,https://example.com/page12
97,929,page_view,2025-04-24 03:10:36,https://example.com/page86
98,506,click,2025-05-14 18:10:36,https://example.com/page100
99,524,page_view,2025-05-14 07:10:36,https://example.com/page33
100,660,click,2025-04-29 03:10:36,https://example.com/page38
101,271,purchase,2025-05-16 11:10:36,https://example.com/page13
102,833,click,2025-05-16 22:10:36,https://example.com/page38
103,369,search,2025-04-30 10:10:36,https://example.com/page95
104,119,page_view,2025-05-16 16:10:36,https://example.com/page2
105,873,click,2025-04-20 07:10:36,https://example.com/page83
106,175,search,2025-05-03 08:10:36,https://example.com/page57
107,979,search,2025-05-14 15:10:36,https://example.com/page48
